Месяц,Заявка,Продукт,Источник,"Сумма, ₽",Статус,Дней до решения
2025-09,Заявка 1,Личная консультация,HR-конференция,8000,Оплачено,15
2025-09,Заявка 2,Корпоративный тренинг,Сайт,150000,Оплачено,4
2025-09,Заявка 3,Личная консультация,Telegram,8000,Оплачено,8
2025-09,Заявка 4,Корпоративный тренинг,Сарафан,150000,Оплачено,5
2025-09,Заявка 5,Открытый тренинг,Сарафан,9000,Оплачено,18
2025-09,Заявка 6,Открытый тренинг,Сарафан,9000,Отказ,19
2025-09,Заявка 7,Выступление,Instagram,40000,Отказ,18
2025-09,Заявка 8,Личная консультация,Telegram,8000,Отказ,20
2025-09,Заявка 9,Корпоративный тренинг,Сарафан,120000,Оплачено,16
2025-09,Заявка 10,Открытый тренинг,Сайт,9000,Отказ,19
2025-09,Заявка 11,Личная консультация,Сарафан,8000,Отказ,18
2025-09,Заявка 12,Корпоративный тренинг,Сарафан,180000,Оплачено,6
2025-09,Заявка 13,Корпоративный тренинг,Telegram,120000,Отказ,7
2025-09,Заявка 14,Личная консультация,HR-конференция,8000,Оплачено,3
2025-09,Заявка 15,Корпоративный тренинг,Telegram,150000,Оплачено,2
2025-09,Заявка 16,Корпоративный тренинг,Сарафан,120000,Оплачено,13
2025-10,Заявка 17,Выступление,Сарафан,60000,Оплачено,7
2025-10,Заявка 18,Открытый тренинг,Сарафан,9000,Оплачено,16
2025-10,Заявка 19,Личная консультация,Instagram,8000,Оплачено,15
2025-10,Заявка 20,Выступление,HR-конференция,40000,Отказ,11
2025-10,Заявка 21,Открытый тренинг,Instagram,9000,Отказ,19
2025-10,Заявка 22,Корпоративный тренинг,Telegram,120000,Оплачено,9
2025-10,Заявка 23,Корпоративный тренинг,Сарафан,150000,Оплачено,1
2025-10,Заявка 24,Личная консультация,Telegram,8000,Отказ,18
2025-10,Заявка 25,Личная консультация,Сарафан,8000,Отказ,13
2025-10,Заявка 26,Открытый тренинг,Сарафан,9000,Оплачено,7
2025-10,Заявка 27,Корпоративный тренинг,Сарафан,150000,Думают,10
2025-10,Заявка 28,Личная консультация,Telegram,8000,Отказ,11
2025-10,Заявка 29,Корпоративный тренинг,Сайт,120000,Думают,19
2025-10,Заявка 30,Открытый тренинг,Сайт,9000,Оплачено,14
2025-10,Заявка 31,Открытый тренинг,Сарафан,9000,Отказ,20
2025-10,Заявка 32,Личная консультация,Сайт,8000,Отказ,14
2025-11,Заявка 33,Открытый тренинг,Сарафан,9000,Оплачено,13
2025-11,Заявка 34,Личная консультация,HR-конференция,8000,Думают,8
2025-11,Заявка 35,Личная консультация,HR-конференция,8000,Оплачено,9
2025-11,Заявка 36,Открытый тренинг,Instagram,9000,Отказ,9
2025-11,Заявка 37,Корпоративный тренинг,HR-конференция,180000,Отказ,2
2025-11,Заявка 38,Открытый тренинг,HR-конференция,9000,Оплачено,14
2025-11,Заявка 39,Корпоративный тренинг,Сайт,150000,Думают,21
2025-11,Заявка 40,Личная консультация,Сайт,8000,Оплачено,21
